geoitem;geolevel;period;d_40b
cr37;corop_code;2004;886
cr37;corop_code;2005;762
cr37;corop_code;2006;1476
cr37;corop_code;2007;1066
cr37;corop_code;2008;873
cr37;corop_code;2009;701
cr37;corop_code;2010;1109
cr37;corop_code;2011;788
cr37;corop_code;2012;502
cr37;corop_code;2013;379
cr37;corop_code;2014;686
cr37;corop_code;2015;259
cr37;corop_code;2016;698
cr37;corop_code;2017;468
cr37;corop_code;2018;754
cr37;corop_code;2019;647
cr37;corop_code;2020;1009
cr37;corop_code;2021;886
cr37;corop_code;2022;1055
cr37;corop_code;2023;991
cr37;corop_code;2024;493
cr38;corop_code;2004;1053
cr38;corop_code;2005;870
cr38;corop_code;2006;746
cr38;corop_code;2007;1073
cr38;corop_code;2008;1046
cr38;corop_code;2009;1293
cr38;corop_code;2010;530
cr38;corop_code;2011;609
cr38;corop_code;2012;876
cr38;corop_code;2013;525
cr38;corop_code;2014;189
cr38;corop_code;2015;481
cr38;corop_code;2016;456
cr38;corop_code;2017;735
cr38;corop_code;2018;598
cr38;corop_code;2019;902
cr38;corop_code;2020;1163
cr38;corop_code;2021;732
cr38;corop_code;2022;1049
cr38;corop_code;2023;881
cr38;corop_code;2024;363
cr39;corop_code;2004;540
cr39;corop_code;2005;1583
cr39;corop_code;2006;1437
cr39;corop_code;2007;1020
cr39;corop_code;2008;1573
cr39;corop_code;2009;867
cr39;corop_code;2010;696
cr39;corop_code;2011;1114
cr39;corop_code;2012;367
cr39;corop_code;2013;286
cr39;corop_code;2014;3
cr39;corop_code;2015;-89
cr39;corop_code;2016;1303
cr39;corop_code;2017;322
cr39;corop_code;2018;392
cr39;corop_code;2019;1070
cr39;corop_code;2020;1255
cr39;corop_code;2021;925
cr39;corop_code;2022;1669
cr39;corop_code;2023;1457
cr39;corop_code;2024;759
