geoitem,geolevel,aantal,period
cr37,corop_id,3.287829263603153,2019
cr38,corop_id,2.13497794749933,2019
cr39,corop_id,1.383759195708837,2019
nl00,nederland,3.7570845954118566,2019
cr37,corop_id,3.4000000000000004,2021
cr38,corop_id,1.3,2021
cr39,corop_id,1.5,2021
cr37,corop_id,3.4000000000000004,2022
cr38,corop_id,1.3,2022
cr39,corop_id,1.5,2022
cr37,corop_id,2.3376719894872324,2023
cr38,corop_id,2.4298177188405017,2023
cr39,corop_id,3.6977428851815506,2023
cr39,corop_id,2.1,2024
cr37,corop_id,4.3999999999999995,2024
cr38,corop_id,3.0,2024
nl00,nederland,4.2,2020
nl00,nederland,3.5,2021
nl00,nederland,3.9,2022
nl00,nederland,4.8,2023
nl00,nederland,4.9,2024
