Indicator code;Name;Description;Unit;Data type;RoundOff;Source;Keywords;
MO_10a;MO_10a De totaalscore van de Leefbaarometer;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. De totaalscore van de Leefbaarometer.;Aantal;Numeric;0.01;lbm;Indicatorenplan;
MO_11a;MO_11a Statistisch woningtekort;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Statistisch woningtekort.;perc;Percentage (mean);0.1;abf_primos;Indicatorenplan;
MO_11b;MO_11b Ervaren tevredenheid met de woning;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Ervaren tevredenheid met de woning.;Aantal;Numeric;1;woon_nl;Indicatorenplan;
MO_12d;MO_12d Ruimte per inwoner in Limburg;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Ruimte per inwoner in Limburg.;km2;Numeric;0.01;cbs_stat;Indicatorenplan;
D_39a;D_39a De deelscores van de Leefbaarometer voor de fysieke omgeving;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. De deelscores van de Leefbaarometer voor de fysieke omgeving.;Aantal;Numeric;0.01;lbm;Indicatorenplan;
D_39aa;D_39aa De deelscores van de Leefbaarometer voor de voorzieningen;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. De deelscores van de Leefbaarometer voor de voorzieningen.;Aantal;Numeric;0.01;lbm;Indicatorenplan;
D_40a;D_40a Aantal bruto toegevoegde woningen;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren.  Aantal bruto toegevoegde woningen.;Aantal;Numeric;1;etil_pcm;Indicatorenplan;
D_40b;D_40b Aantal netto toegevoegde woningen;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Aantal netto toegevoegde woningen.;Aantal;Numeric;1;etil_pcm;Indicatorenplan;
D_41a;D_41a Aandeel gerealiseerde woningen in de betaalbare segment t.o.v. het totale aantal gerealiseerde woningen;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Aandeel gerealiseerde woningen in de betaalbare segment t.o.v. het totale aantal gerealiseerde woningen.;perc;Percentage (mean);0.1;etil_pcm;Indicatorenplan;
D_43a;D_43a De in algemene zin ervaren kwaliteit/integraliteit van gemaakte afwegingen door externe partijen;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. De in algemene zin ervaren kwaliteit/integraliteit van gemaakte afwegingen door externe partijen.;Aantal;Numeric;1;;Indicatorenplan;
R_118a;R_118a Gefinancierde inwonersinitiatieven uit het leefbaarheidsfonds (Schaal A);Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Gefinancierde inwonersinitiatieven uit het leefbaarheidsfonds (Schaal A).;Aantal;Numeric;1;;Indicatorenplan;
R_119a;R_119a Ge(co)financierde leefbaarheidsinitiatieven van organisaties (Schaal B);Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Ge(co)financierde leefbaarheidsinitiatieven van organisaties (Schaal B).;Aantal;Numeric;1;;Indicatorenplan;
R_120a;R_120a Ge(co)financierde gebiedsaanpakken via het leefbaarheidsfonds (Schaal C);Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Ge(co)financierde gebiedsaanpakken via het leefbaarheidsfonds (Schaal C).;Aantal;Numeric;1;;Indicatorenplan;
R_122a;R_122a Aantal woonregio's dat een door de Provincie geco”rdineerde woonzorgvisie heeft vastgesteld;Deze indicator maakt onderdeel uit van het Indicatorenplan Statenperiode 2023-2027 en is bedoeld om de maatschappelijke opgaven, doelstellingen of resultaten uit de beleidskaders te monitoren. Aantal woonregio's dat een door de Provincie geco”rdineerde woonzorgvisie heeft vastgesteld.;Aantal;Numeric;1;;Indicatorenplan;
